uf75-01 3077 -1 2 3 4 5 6 -7 -8 9 10 -11 -12 -13 -14 15 -16 17 -18 -19 -20 -21 -22 -23 -24 -25 26 27 -28 29 -30 31 -32 33 34 35 36 -37 38 39 -40 -41 42 43 -44 -45 46 47 -48 49 -50 -51 -52 -53 -54 -55 56 57 -58 59 60 61 62 -63 64 65 -66 -67 68 69 70 -71 72 73 -74 -75 0
uf75-010 5032 1 -2 -3 4 5 6 -7 8 9 -10 -11 12 13 -14 -15 -16 17 -18 19 -20 -21 22 23 -24 25 26 27 28 29 -30 -31 32 33 34 -35 36 -37 -38 39 40 41 42 -43 44 -45 -46 47 -48 -49 -50 -51 52 -53 54 -55 -56 57 58 59 60 -61 -62 -63 64 -65 66 -67 -68 -69 70 71 72 -73 -74 -75 0
uf75-0100 2191 1 2 3 -4 -5 6 -7 8 -9 10 11 -12 -13 14 -15 16 17 -18 -19 -20 -21 22 23 -24 25 26 27 28 29 30 31 -32 -33 34 -35 -36 37 -38 39 -40 41 42 43 -44 45 46 -47 48 49 50 51 -52 53 54 -55 56 -57 -58 59 60 61 62 63 -64 65 66 67 -68 -69 70 71 72 -73 -74 -75 0
uf75-011 2254 1 2 3 4 -5 -6 7 -8 -9 10 11 -12 -13 -14 15 -16 -17 -18 19 20 21 -22 23 24 -25 26 -27 -28 29 -30 -31 -32 -33 34 35 -36 -37 -38 -39 40 41 42 -43 44 45 46 -47 48 -49 50 51 52 53 54 55 56 57 -58 59 60 61 -62 63 64 65 66 -67 68 69 70 -71 -72 -73 -74 -75 0
uf75-012 886 -1 -2 3 -4 -5 6 7 8 9 10 -11 -12 13 -14 -15 16 -17 -18 19 20 -21 22 23 -24 25 -26 -27 28 29 30 31 32 -33 34 35 36 37 38 -39 -40 -41 42 43 44 45 46 -47 -48 -49 50 -51 52 -53 54 -55 -56 -57 58 59 -60 -61 62 63 64 65 -66 -67 -68 -69 -70 71 72 73 -74 75 0
uf75-013 4190 -1 2 3 4 5 6 -7 -8 -9 10 11 -12 13 -14 15 16 17 -18 -19 20 21 22 -23 -24 25 26 27 28 29 -30 31 32 33 34 -35 36 37 38 39 -40 -41 42 43 -44 -45 -46 47 48 -49 50 51 52 53 -54 55 -56 -57 58 -59 60 61 62 -63 -64 -65 66 67 68 69 -70 71 72 73 -74 -75 0
uf75-014 2451 -1 -2 3 -4 -5 6 -7 -8 -9 10 -11 12 13 -14 -15 -16 17 18 19 20 21 22 23 24 -25 26 27 28 29 30 -31 -32 -33 34 35 36 37 38 -39 -40 41 42 -43 -44 45 46 -47 48 -49 50 -51 -52 53 54 -55 56 57 58 -59 60 -61 62 -63 64 -65 -66 -67 68 -69 70 71 -72 -73 -74 75 0
uf75-015 1284 -1 2 3 4 -5 -6 -7 -8 -9 -10 -11 -12 13 14 -15 -16 -17 -18 -19 -20 -21 22 23 24 25 26 -27 28 -29 -30 31 32 33 34 35 36 -37 38 39 -40 -41 42 43 44 45 -46 -47 48 -49 -50 51 -52 53 -54 -55 56 57 -58 59 60 -61 -62 63 64 -65 -66 -67 -68 69 70 71 72 -73 74 75 0
uf75-016 1189 -1 -2 3 4 5 6 7 -8 9 10 -11 12 13 14 -15 16 -17 18 -19 20 -21 22 -23 -24 25 26 -27 -28 -29 -30 31 -32 -33 34 35 36 37 38 -39 -40 -41 -42 -43 44 -45 46 -47 48 49 -50 -51 -52 53 -54 -55 56 -57 -58 59 60 61 62 -63 64 65 -66 -67 68 -69 70 71 72 73 -74 75 0
uf75-017 2442 1 -2 3 4 -5 6 -7 -8 -9 -10 -11 -12 -13 -14 15 -16 -17 18 -19 -20 21 -22 -23 -24 25 26 -27 -28 29 -30 31 -32 33 34 -35 -36 -37 -38 -39 -40 -41 42 43 44 -45 46 -47 48 49 50 -51 52 -53 54 55 -56 57 -58 59 -60 -61 -62 63 -64 65 66 67 -68 69 70 -71 72 73 -74 -75 0
uf75-018 3924 -1 2 3 4 5 6 -7 8 9 -10 -11 -12 -13 14 15 -16 -17 -18 -19 -20 -21 -22 -23 24 -25 26 27 28 -29 -30 -31 32 -33 34 35 36 37 -38 39 -40 -41 42 43 -44 45 -46 -47 48 49 50 51 -52 53 54 55 -56 57 58 -59 60 -61 62 63 64 65 -66 -67 -68 -69 70 -71 72 -73 -74 75 0
uf75-019 690 -1 2 3 4 -5 6 -7 -8 9 -10 11 -12 13 -14 15 16 -17 18 -19 20 21 22 23 -24 -25 26 27 28 29 30 31 32 33 34 35 -36 37 -38 39 -40 -41 -42 43 -44 -45 -46 47 48 49 50 51 -52 -53 54 55 -56 -57 -58 -59 -60 61 -62 -63 -64 -65 -66 67 -68 -69 70 -71 -72 73 74 75 0
uf75-02 3586 -1 2 3 -4 5 -6 7 -8 -9 10 11 12 13 -14 15 -16 -17 18 -19 20 21 22 23 24 25 -26 27 28 -29 30 31 -32 33 34 -35 36 37 38 -39 40 -41 42 -43 44 -45 -46 47 48 -49 50 -51 52 53 54 -55 -56 -57 58 59 60 61 62 63 64 65 66 67 68 69 -70 -71 72 -73 74 75 0
uf75-020 1675 1 -2 3 4 -5 6 7 8 9 10 11 12 13 14 -15 16 17 18 -19 -20 21 -22 23 24 -25 26 -27 28 29 -30 31 32 33 34 35 36 37 38 -39 40 41 42 -43 -44 -45 46 47 -48 -49 -50 51 -52 53 54 55 56 -57 58 -59 -60 -61 62 63 64 65 -66 -67 68 69 70 71 72 73 -74 75 0
uf75-021 3684 1 2 3 -4 -5 -6 -7 -8 9 10 11 12 13 14 15 -16 17 18 19 20 21 -22 23 24 25 26 27 -28 29 30 31 32 -33 34 -35 36 37 -38 39 40 41 42 43 44 45 -46 47 48 -49 50 -51 52 53 -54 55 56 57 -58 -59 -60 61 -62 -63 64 65 66 -67 68 69 -70 71 72 -73 74 75 0
uf75-022 3637 1 2 -3 4 5 -6 7 8 9 -10 11 12 13 -14 -15 16 17 18 -19 20 21 -22 23 24 -25 26 -27 -28 29 30 -31 -32 -33 34 35 -36 37 -38 -39 -40 -41 42 43 44 45 -46 47 -48 49 -50 51 52 53 54 55 56 -57 58 59 60 61 -62 -63 -64 65 -66 -67 68 -69 70 -71 72 73 74 -75 0
uf75-023 2154 -1 2 3 -4 -5 6 7 8 -9 -10 11 -12 -13 -14 15 -16 -17 -18 19 20 21 -22 -23 -24 25 -26 -27 28 -29 -30 31 32 33 34 -35 36 37 38 -39 -40 41 -42 43 -44 -45 46 47 48 -49 50 51 52 53 54 55 -56 57 -58 -59 -60 -61 -62 63 64 65 -66 -67 -68 -69 70 71 72 -73 -74 75 0
uf75-024 2527 1 -2 -3 4 -5 -6 7 -8 -9 -10 11 -12 -13 -14 -15 16 17 -18 19 -20 21 22 -23 -24 25 -26 27 -28 29 30 31 -32 -33 34 -35 -36 37 -38 -39 40 41 42 -43 -44 45 -46 47 -48 49 -50 -51 52 53 54 55 56 57 58 59 -60 61 -62 -63 -64 -65 66 -67 68 -69 -70 71 -72 -73 -74 75 0
uf75-025 4429 1 2 3 4 5 -6 7 -8 -9 10 11 12 13 14 -15 -16 -17 18 19 -20 -21 22 23 24 25 -26 27 28 29 30 31 32 33 34 -35 -36 37 38 39 40 41 -42 43 44 -45 46 47 48 49 50 51 -52 53 54 55 56 -57 58 59 -60 61 -62 63 -64 65 66 67 68 69 70 -71 72 -73 -74 75 0
uf75-026 3450 -1 -2 3 -4 -5 -6 -7 -8 9 -10 -11 -12 13 -14 -15 -16 -17 18 19 -20 21 -22 -23 -24 25 -26 -27 -28 -29 30 -31 -32 33 34 35 36 37 -38 -39 -40 41 -42 43 -44 45 -46 47 -48 49 -50 51 52 -53 54 55 56 -57 -58 59 -60 61 62 -63 64 -65 66 -67 68 -69 70 -71 72 73 -74 -75 0
uf75-027 2959 1 2 3 4 -5 -6 -7 8 -9 10 11 -12 -13 -14 15 16 17 18 -19 20 -21 -22 23 24 -25 -26 -27 28 -29 -30 -31 32 -33 34 -35 -36 -37 -38 -39 40 41 42 -43 44 45 46 -47 -48 49 -50 -51 52 53 -54 -55 56 57 -58 59 -60 -61 62 63 -64 65 -66 67 -68 -69 70 71 72 73 -74 -75 0
uf75-028 1391 -1 -2 -3 4 -5 6 -7 8 -9 -10 11 12 -13 -14 15 -16 -17 -18 19 20 -21 -22 -23 -24 25 26 -27 28 29 30 -31 32 -33 34 -35 36 -37 -38 39 40 41 -42 43 44 45 -46 47 -48 -49 50 51 -52 53 54 55 56 -57 -58 59 -60 61 62 63 -64 65 66 -67 -68 69 -70 71 -72 73 -74 75 0
uf75-029 2453 -1 -2 -3 -4 -5 -6 7 -8 9 -10 11 12 -13 -14 15 -16 17 -18 19 20 -21 22 -23 -24 -25 -26 -27 28 -29 30 -31 -32 -33 -34 -35 -36 37 38 39 -40 41 42 -43 -44 -45 46 47 48 -49 -50 51 52 -53 -54 -55 56 -57 58 59 -60 -61 62 63 -64 -65 -66 67 -68 69 70 71 -72 73 -74 -75 0
uf75-03 297 -1 -2 -3 -4 -5 6 -7 -8 -9 10 -11 -12 13 14 -15 -16 -17 -18 19 20 21 22 23 -24 -25 -26 27 -28 29 -30 31 -32 33 34 -35 36 37 38 39 40 -41 42 43 -44 -45 -46 -47 48 49 -50 51 -52 53 -54 -55 56 57 58 59 60 61 -62 63 -64 65 -66 67 68 69 -70 71 -72 -73 -74 -75 0
