user_id,system,precision,recall,f_score
1,content,0.027,0.23275862068965517,0.009977280814605973
1,collab ,0.021,0.1810344827586207,0.006325482658710807
1,hybrid1,0.017,0.14655172413793102,0.004282369676673681
1,hybrid2,0.029,0.25,0.01133698201720094
1,hybrid3,0.034,0.29310344827586204,0.015018448266902252
1,framew ,0.03,0.25862068965517243,0.012041744715012041
1,random ,0.009,0.06896551724137931,0.0011515946386871818
2,content,0.005,0.3333333333333333,0.0024906600249066
2,collab ,0.009,0.6,0.0067122436295835915
2,hybrid1,0.008,0.5333333333333333,0.0055363321799307965
2,hybrid2,0.007,0.4666666666666667,0.004433386111739426
2,hybrid3,0.008,0.5333333333333333,0.0055363321799307965
2,framew ,0.001,0.06666666666666667,0.0001248829222603809
2,random ,0.001,0.06666666666666667,0.0001248829222603809
3,content,0.008,0.42105263157894735,0.004714201532115498
3,collab ,0.004,0.21052631578947367,0.0013867221355520886
3,hybrid1,0.003,0.15789473684210525,0.0008160674615768237
3,hybrid2,0.005,0.2631578947368421,0.002075119319360863
3,hybrid3,0.006,0.3157894736842105,0.0028669268137293943
3,framew ,0.005,0.2631578947368421,0.002075119319360863
3,random ,0.002,0.10526315789473684,0.00038026428367715555
4,content,0.023,0.21296296296296297,0.007926043570765035
4,collab ,0.03,0.2777777777777778,0.012744265080713676
4,hybrid1,0.021,0.19444444444444445,0.006719078526373526
4,hybrid2,0.027,0.25,0.0105716523101018
4,hybrid3,0.03,0.2777777777777778,0.012744265080713676
4,framew ,0.025,0.23148148148148148,0.009211495946941784
4,random ,0.013,0.1111111111111111,0.002569931797963823
5,content,0.003,0.13636363636363635,0.0007181042048990665
5,collab ,0.004,0.18181818181818182,0.0012266176019625882
5,hybrid1,0.004,0.18181818181818182,0.0012266176019625882
5,hybrid2,0.006,0.2727272727272727,0.0025593630029859234
5,hybrid3,0.005,0.22727272727272727,0.0018443378827001106
5,framew ,0.01,0.45454545454545453,0.0062073246430788325
5,random ,0.001,0.045454545454545456,8.687342541916429e-05
6,content,0.011,0.07006369426751592,0.001425819109511156
6,collab ,0.004,0.025477707006369428,0.00019798549756230356
6,hybrid1,0.005,0.03184713375796178,0.00030715360751912025
6,hybrid2,0.01,0.06369426751592357,0.0011864507326333274
6,hybrid3,0.013,0.08280254777070063,0.0019646479618230534
6,framew ,0.043,0.27388535031847133,0.01788624964329072
6,random ,0.024,0.15286624203821655,0.00623484586075511
7,content,0.023,0.3026315789473684,0.010501449160281097
7,collab ,0.008,0.10526315789473684,0.0015128593040847202
7,hybrid1,0.015,0.19736842105263158,0.004883872368135447
7,hybrid2,0.02,0.2631578947368421,0.008203445447087777
7,hybrid3,0.024,0.3157894736842105,0.011313639220615963
7,framew ,0.009,0.11842105263157894,0.0018906680360394007
7,random ,0.011,0.14473684210526316,0.002755134568969443
8,content,0.003,0.125,0.0006648936170212766
8,collab ,0.001,0.041666666666666664,7.992327365728901e-05
8,hybrid1,0.0,0.0,0
8,hybrid2,0.0,0.0,0
8,hybrid3,0.002,0.08333333333333333,0.0003071253071253071
8,framew ,0.006,0.25,0.0023885350318471337
8,random ,0.001,0.041666666666666664,7.992327365728901e-05
9,content,0.003,0.13043478260869565,0.0006904752771491043
9,collab ,0.004,0.17391304347826086,0.0011811604901816035
9,hybrid1,0.002,0.08695652173913043,0.00031941228140222
9,hybrid2,0.003,0.13043478260869565,0.0006904752771491043
9,hybrid3,0.002,0.08695652173913043,0.00031941228140222
9,framew ,0.005,0.21739130434782608,0.0017784101013693758
9,random ,0.001,0.043478260869565216,8.325354868251259e-05
10,content,0.025,0.35714285714285715,0.012919896640826876
10,collab ,0.01,0.14285714285714285,0.0024783147459727386
10,hybrid1,0.012,0.17142857142857143,0.0034765813616610334
10,hybrid2,0.023,0.32857142857142857,0.01118275023781841
10,hybrid3,0.027,0.38571428571428573,0.014743654565679037
10,framew ,0.004,0.05714285714285714,0.0004308023694130318
10,random ,0.009,0.11428571428571428,0.0018313620755436855
11,content,0.02,0.625,0.015197568389057751
11,collab ,0.004,0.125,0.0008857395925597874
11,hybrid1,0.007,0.21875,0.00249847032429125
11,hybrid2,0.015,0.46875,0.009477674810446502
11,hybrid3,0.018,0.5625,0.0128124011388801
11,framew ,0.008,0.25,0.003179650238473768
11,random ,0.005,0.125,0.001106194690265487
12,content,0.005,0.3125,0.0023719165085388997
12,collab ,0.0,0.0,0
12,hybrid1,0.003,0.1875,0.0009449811003779925
12,hybrid2,0.004,0.25,0.001594896331738437
12,hybrid3,0.005,0.3125,0.0023719165085388997
12,framew ,0.005,0.3125,0.0023719165085388997
12,random ,0.001,0.0625,0.00011753643629525155
13,content,0.0,0.0,0
13,collab ,0.001,0.06666666666666667,0.0001248829222603809
13,hybrid1,0.001,0.06666666666666667,0.0001248829222603809
13,hybrid2,0.0,0.0,0
13,hybrid3,0.001,0.06666666666666667,0.0001248829222603809
13,framew ,0.001,0.06666666666666667,0.0001248829222603809
13,random ,0.001,0.06666666666666667,0.0001248829222603809
14,content,0.003,0.125,0.0006648936170212766
14,collab ,0.001,0.041666666666666664,7.992327365728901e-05
14,hybrid1,0.001,0.041666666666666664,7.992327365728901e-05
14,hybrid2,0.001,0.041666666666666664,7.992327365728901e-05
14,hybrid3,0.002,0.08333333333333333,0.0003071253071253071
14,framew ,0.007,0.2916666666666667,0.0031442505133470232
14,random ,0.003,0.125,0.0006648936170212766
15,content,0.026,0.38235294117647056,0.01411745050538802
15,collab ,0.009,0.1323529411764706,0.002087306086687625
15,hybrid1,0.024,0.35294117647058826,0.012303485987696514
15,hybrid2,0.031,0.45588235294117646,0.019009376112671603
15,hybrid3,0.033,0.4852941176470588,0.021095656890473054
15,framew ,0.006,0.08823529411764706,0.000967637888399097
15,random ,0.01,0.14705882352941177,0.0025419420437214034
16,content,0.005,0.10204081632653061,0.0009217439395335977
16,collab ,0.03,0.6122448979591837,0.02236858456567665
16,hybrid1,0.017,0.3469387755102041,0.008648422186644323
16,hybrid2,0.011,0.22448979591836735,0.003997423148714052
16,hybrid3,0.01,0.20408163265306123,0.003361909564632712
16,framew ,0.013,0.2653061224489796,0.005396171591870619
16,random ,0.008,0.16326530612244897,0.002230275996654586
17,content,0.01,0.19230769230769232,0.0031989763275751763
17,collab ,0.033,0.6346153846153846,0.02511647216200009
17,hybrid1,0.023,0.4423076923076923,0.01388524331985931
17,hybrid2,0.021,0.40384615384615385,0.011904119203152838
17,hybrid3,0.018,0.34615384615384615,0.00913499492500282
