uf20-011 17208 1 2 3 4 -5 6 7 -8 -9 10 -11 12 -13 14 -15 16 17 -18 19 20 0
uf20-0110 28316 1 -2 3 4 5 6 7 8 9 -10 11 -12 13 14 15 16 17 18 19 -20 0
uf20-0116 22248 1 -2 3 4 -5 6 7 8 -9 -10 -11 -12 13 14 -15 -16 17 -18 19 20 0
uf20-0118 15021 1 -2 -3 4 5 -6 7 8 9 10 11 -12 13 14 -15 16 17 -18 19 -20 0
uf20-0119 4455 1 -2 3 -4 5 6 7 -8 -9 -10 -11 -12 -13 14 -15 16 -17 18 -19 -20 0
uf20-0126 23731 -1 -2 -3 -4 5 6 7 8 9 10 11 12 -13 14 -15 16 -17 -18 -19 20 0
uf20-0127 22621 1 2 3 -4 -5 6 -7 -8 9 10 11 12 13 14 15 16 -17 -18 -19 20 0
uf20-0130 6679 1 -2 -3 -4 5 -6 -7 -8 -9 10 -11 12 -13 -14 15 16 -17 18 -19 20 0
uf20-0131 20286 -1 -2 3 4 5 -6 -7 8 9 10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-0138 2976 -1 -2 3 4 5 -6 -7 8 -9 10 11 -12 13 -14 15 16 17 -18 19 -20 0
uf20-0146 12716 -1 2 -3 4 -5 6 7 8 -9 -10 -11 12 13 -14 15 -16 -17 18 19 -20 0
uf20-0162 12746 1 2 -3 -4 5 6 7 -8 9 10 -11 12 -13 14 15 16 17 -18 19 -20 0
uf20-0163 11534 1 2 3 -4 -5 6 -7 -8 9 -10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-0165 10574 -1 2 3 4 5 -6 -7 8 -9 10 -11 12 13 14 -15 -16 17 18 19 20 0
uf20-0189 15254 -1 2 3 4 -5 -6 -7 -8 -9 10 11 -12 -13 -14 15 16 -17 18 19 -20 0
uf20-0192 2231 -1 -2 -3 -4 5 -6 -7 8 -9 -10 -11 -12 -13 -14 15 16 17 18 -19 20 0
uf20-0193 2234 -1 -2 -3 4 -5 -6 -7 8 -9 -10 11 12 -13 14 15 16 17 18 -19 20 0
uf20-0197 12 1 2 -3 -4 5 -6 7 8 -9 10 -11 -12 13 14 15 -16 17 -18 19 20 0
uf20-021 8907 1 2 3 -4 -5 6 -7 8 -9 -10 11 12 13 14 15 -16 -17 18 -19 -20 0
uf20-0222 8906 1 -2 -3 4 5 6 -7 -8 9 -10 11 12 13 14 15 16 -17 18 -19 20 0
uf20-0232 2236 1 -2 -3 4 5 -6 7 8 -9 10 11 -12 13 -14 15 16 -17 18 19 -20 0
uf20-0241 13351 -1 -2 -3 -4 5 -6 7 -8 9 10 11 -12 13 -14 15 -16 17 -18 19 20 0
uf20-025 16 1 2 3 4 5 -6 7 -8 9 10 11 -12 -13 14 15 16 17 18 19 20 0
uf20-0250 14836 -1 -2 3 -4 -5 6 7 8 9 10 -11 12 13 -14 15 16 17 18 19 20 0
uf20-0262 2233 1 -2 -3 4 -5 -6 -7 8 9 -10 -11 12 -13 -14 15 -16 17 18 -19 20 0
uf20-0278 2228 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 -11 12 -13 14 15 16 -17 -18 -19 -20 0
uf20-0280 19282 -1 2 3 -4 -5 -6 7 8 -9 10 11 12 -13 14 15 -16 17 18 19 20 0
uf20-0285 10387 1 -2 3 -4 5 -6 -7 -8 9 10 -11 12 -13 14 15 16 -17 -18 19 -20 0
uf20-0312 7 -1 -2 -3 -4 5 -6 -7 -8 9 10 11 -12 -13 14 -15 16 17 -18 -19 -20 0
uf20-0314 13945 -1 -2 -3 4 5 6 7 -8 -9 -10 11 -12 -13 14 15 16 17 -18 19 20 0
uf20-0318 12615 1 2 -3 4 -5 6 -7 -8 9 10 11 12 13 14 -15 16 17 -18 19 20 0
uf20-0327 11804 1 -2 3 4 5 6 7 8 9 10 11 -12 -13 -14 -15 16 -17 18 -19 -20 0
uf20-033 22484 -1 -2 -3 4 -5 -6 7 -8 -9 10 11 -12 13 14 15 16 -17 -18 -19 -20 0
uf20-0339 43280 -1 2 -3 4 5 6 7 -8 9 -10 11 12 13 14 -15 16 -17 18 -19 20 0
uf20-0348 6196 -1 2 3 4 5 -6 -7 8 9 10 -11 12 13 -14 15 16 17 18 19 20 0
uf20-0351 18558 1 2 3 4 5 -6 7 8 9 -10 -11 12 13 -14 15 16 -17 18 19 -20 0
