userId,movieId,rating,timestamp
1,3,4.0,964981247
1,47,5.0,964983815
1,70,3.0,964982400
1,110,4.0,964982176
1,157,5.0,964984100
1,216,5.0,964981208
1,231,5.0,964981179
1,260,5.0,964981680
1,316,3.0,964982310
1,349,4.0,964982563
1,362,5.0,964982588
1,423,3.0,964982363
1,457,5.0,964981909
1,500,3.0,964981208
1,543,4.0,964981179
1,553,5.0,964984153
1,592,4.0,964982271
1,596,5.0,964982838
1,648,3.0,964982563
1,673,3.0,964981775
1,736,3.0,964982653
1,804,4.0,964980499
1,923,5.0,964981529
1,943,4.0,964983614
1,1009,3.0,964981775
1,1024,5.0,964982876
1,1029,5.0,964982855
1,1031,5.0,964982653
1,1042,4.0,964981179
1,1060,4.0,964980924
1,1080,5.0,964981327
1,1090,4.0,964984018
1,1097,5.0,964981680
1,1136,5.0,964981327
1,1197,5.0,964981872
1,1206,5.0,964983737
1,1210,5.0,964980499
1,1214,4.0,964981855
1,1220,5.0,964981909
1,1224,5.0,964984018
1,1240,5.0,964983723
1,1258,3.0,964983414
1,1270,5.0,964983705
1,1278,5.0,964983414
1,1291,5.0,964981909
1,1348,4.0,964983393
1,1396,3.0,964983017
1,1445,3.0,964984112
1,1500,4.0,964980985
1,1552,4.0,964982620
1,1580,3.0,964981125
1,1617,5.0,964982951
1,1625,5.0,964983504
1,1676,3.0,964982620
1,1777,4.0,964981230
1,1804,5.0,964983034
1,1920,4.0,964981780
1,1954,5.0,964982176
1,2000,4.0,964982211
1,2012,4.0,964984176
1,2028,4.0,964981888
1,2046,4.0,964982563
1,2054,4.0,964981747
1,2078,5.0,964982838
1,2093,3.0,964981710
1,2096,4.0,964982838
1,2105,4.0,964981725
1,2116,5.0,964982876
1,2139,5.0,964982791
1,2143,4.0,964981725
1,2174,4.0,964981680
1,2253,2.0,964981775
1,2273,4.0,964982310
1,2329,5.0,964983263
1,2353,5.0,964983861
1,2387,5.0,964983123
1,2395,5.0,964981093
1,2414,3.0,964982513
1,2450,4.0,964982620
1,2470,5.0,964982588
1,2492,4.0,965719662
1,2528,3.0,964982328
1,2542,5.0,964981265
1,2580,5.0,964983000
1,2616,4.0,964983080
1,2628,4.0,964980523
1,2641,5.0,964982620
1,2648,4.0,964983414
1,2657,3.0,964983426
1,2700,5.0,964980985
1,2761,5.0,964982703
1,2826,4.0,964980523
1,2872,5.0,964981680
1,2916,4.0,964982290
1,2947,5.0,964982176
1,2949,5.0,964981888
1,2985,4.0,964983034
1,2991,5.0,964982271
1,2997,4.0,964980896
1,3034,5.0,964982791
1,3053,5.0,964984086
1,3147,5.0,964983873
1,3176,1.0,964983504
1,3247,3.0,964983108
1,3273,5.0,964983536
1,3439,4.0,964981799
1,3441,5.0,964982328
1,3450,5.0,964981144
1,3489,4.0,964981775
